risk_id,country_id,year,growth_category,inflation_risk,unemployment_risk
1,2001_AFG,2001,Negative,High,High
2,2002_AFG,2002,High,High,Low
3,2003_AFG,2003,High,High,Medium
4,2004_AFG,2004,Low,High,High
5,2005_AFG,2005,High,High,Medium
6,2006_AFG,2006,Moderate,Medium,Medium
7,2007_AFG,2007,High,Medium,Medium
8,2008_AFG,2008,Moderate,High,High
9,2009_AFG,2009,High,Low,Low
10,2010_AFG,2010,High,Low,Low
11,2011_AFG,2011,Low,High,High
12,2012_AFG,2012,High,Medium,Medium
13,2013_AFG,2013,Moderate,Medium,Medium
14,2014_AFG,2014,Low,Low,High
15,2015_AFG,2015,Low,Low,High
16,2016_AFG,2016,Low,Low,Medium
17,2017_AFG,2017,Low,Low,High
18,2018_AFG,2018,Low,Low,High
19,2019_AFG,2019,Moderate,Low,High
20,2020_AFG,2020,Negative,Medium,High
21,2021_AFG,2021,Negative,Medium,High
22,2022_AFG,2022,Negative,High,High
23,2023_AFG,2023,Low,Low,Medium
24,2024_AFG,2024,High,Low,Medium
25,2000_ALB,2000,High,Low,Medium
26,2001_ALB,2001,High,Low,Medium
27,2002_ALB,2002,Moderate,Medium,Medium
28,2003_ALB,2003,Moderate,Low,Medium
29,2004_ALB,2004,Moderate,Low,Medium
30,2005_ALB,2005,Moderate,Low,Medium
31,2006_ALB,2006,High,Low,Medium
32,2007_ALB,2007,High,Low,Medium
33,2008_ALB,2008,High,Low,Medium
34,2009_ALB,2009,Low,Low,Medium
35,2010_ALB,2010,Low,Low,High
36,2011_ALB,2011,Low,Low,Medium
37,2012_ALB,2012,Low,Low,High
38,2013_ALB,2013,Low,Low,Medium
39,2014_ALB,2014,Low,Low,High
40,2015_ALB,2015,Low,Low,High
41,2016_ALB,2016,Moderate,Low,High
42,2017_ALB,2017,Moderate,Low,Medium
43,2018_ALB,2018,Moderate,Low,High
44,2019_ALB,2019,Low,Low,High
45,2020_ALB,2020,Negative,Low,High
46,2021_ALB,2021,High,Low,Medium
47,2022_ALB,2022,Moderate,Medium,Medium
48,2023_ALB,2023,Moderate,Low,Medium
49,2024_ALB,2024,Moderate,Low,Medium
50,2000_DZA,2000,Moderate,Low,High
51,2001_DZA,2001,Low,Low,High
52,2002_DZA,2002,Moderate,Low,Medium
53,2003_DZA,2003,High,Low,Medium
54,2004_DZA,2004,Moderate,Low,High
55,2005_DZA,2005,Moderate,Low,Medium
56,2006_DZA,2006,Low,Low,High
57,2007_DZA,2007,Moderate,Low,High
58,2008_DZA,2008,Low,Low,High
59,2009_DZA,2009,Low,Medium,High
60,2010_DZA,2010,Moderate,Low,Medium
61,2011_DZA,2011,Low,Low,Medium
62,2012_DZA,2012,Low,Medium,Medium
63,2013_DZA,2013,Low,Low,High
64,2014_DZA,2014,Moderate,Low,High
65,2015_DZA,2015,Moderate,Low,High
66,2016_DZA,2016,Moderate,Medium,Medium
67,2017_DZA,2017,Low,Medium,High
68,2018_DZA,2018,Low,Low,High
69,2019_DZA,2019,Low,Low,High
70,2020_DZA,2020,Negative,Low,High
71,2021_DZA,2021,Moderate,Medium,Medium
72,2022_DZA,2022,Moderate,Medium,Medium
73,2023_DZA,2023,Moderate,Medium,Medium
74,2024_DZA,2024,Moderate,Low,Medium
75,2003_ASM,2003,Low,High,High
76,2004_ASM,2004,Low,High,High
77,2005_ASM,2005,Negative,High,High
78,2006_ASM,2006,Negative,High,High
79,2007_ASM,2007,Low,High,Medium
80,2008_ASM,2008,Negative,High,High
81,2009_ASM,2009,Negative,High,High
82,2010_ASM,2010,Low,High,High
83,2011_ASM,2011,Low,High,High
84,2012_ASM,2012,Negative,High,High
85,2013_ASM,2013,Negative,High,High
86,2014_ASM,2014,Low,High,High
87,2015_ASM,2015,Moderate,High,High
88,2016_ASM,2016,Negative,High,High
89,2017_ASM,2017,Negative,High,High
90,2018_ASM,2018,Low,High,High
91,2019_ASM,2019,Negative,High,High
92,2020_ASM,2020,Moderate,High,Medium
93,2021_ASM,2021,Negative,High,High
94,2022_ASM,2022,Low,High,High
95,2000_AND,2000,Moderate,High,High
96,2001_AND,2001,High,High,Medium
97,2002_AND,2002,Moderate,High,Medium
98,2003_AND,2003,High,High,Medium
99,2004_AND,2004,High,High,Medium
100,2005_AND,2005,Moderate,High,High
101,2006_AND,2006,Moderate,High,Medium
102,2007_AND,2007,Low,High,High
103,2008_AND,2008,Negative,High,High
104,2009_AND,2009,Negative,High,High
105,2010_AND,2010,Negative,High,High
106,2011_AND,2011,Negative,High,High
107,2012_AND,2012,Negative,High,High
108,2013_AND,2013,Negative,High,High
109,2014_AND,2014,Low,High,High
110,2015_AND,2015,Low,High,High
111,2016_AND,2016,Moderate,High,High
112,2017_AND,2017,Low,High,High
113,2018_AND,2018,Low,High,High
114,2019_AND,2019,Low,High,High
115,2020_AND,2020,Negative,High,High
116,2021_AND,2021,High,High,Medium
117,2022_AND,2022,High,High,Medium
118,2023_AND,2023,Low,High,High
119,2024_AND,2024,Moderate,High,Medium
120,2000_AGO,2000,Moderate,High,High
121,2001_AGO,2001,Moderate,High,Medium
122,2002_AGO,2002,High,High,Medium
123,2003_AGO,2003,Moderate,High,High
124,2004_AGO,2004,High,High,Medium
125,2005_AGO,2005,High,High,Medium
126,2006_AGO,2006,High,High,Medium
127,2007_AGO,2007,High,High,Medium
128,2008_AGO,2008,High,High,Medium
129,2009_AGO,2009,Low,High,High
130,2010_AGO,2010,Moderate,High,High
131,2011_AGO,2011,Moderate,High,High
132,2012_AGO,2012,High,High,Medium
133,2013_AGO,2013,Moderate,Medium,High
134,2014_AGO,2014,Moderate,Medium,High
135,2015_AGO,2015,Low,Medium,High
136,2016_AGO,2016,Negative,High,High
137,2017_AGO,2017,Negative,High,High
138,2018_AGO,2018,Negative,High,High
139,2019_AGO,2019,Negative,High,High
140,2020_AGO,2020,Negative,High,High
141,2021_AGO,2021,Low,High,High
142,2022_AGO,2022,Moderate,High,Medium
143,2023_AGO,2023,Low,High,High
144,2024_AGO,2024,Moderate,High,Medium
145,2000_ATG,2000,High,Low,Medium
146,2001_ATG,2001,Negative,Low,High
147,2002_ATG,2002,Low,Low,High
148,2003_ATG,2003,High,Low,Medium
149,2004_ATG,2004,Moderate,Low,High
150,2005_ATG,2005,High,Low,Medium
151,2006_ATG,2006,High,Low,Medium
152,2007_ATG,2007,High,Low,Medium
153,2008_ATG,2008,Negative,Medium,High
154,2009_ATG,2009,Negative,Low,High
155,2010_ATG,2010,Negative,Low,High
156,2011_ATG,2011,Negative,Low,High
157,2012_ATG,2012,Moderate,Low,Medium
158,2013_ATG,2013,Negative,Low,High
159,2014_ATG,2014,Low,Low,High
160,2015_ATG,2015,Low,Low,High
161,2016_ATG,2016,Moderate,Low,Medium
162,2017_ATG,2017,Low,Low,High
163,2018_ATG,2018,High,Low,Medium
164,2019_ATG,2019,Moderate,Low,High
165,2020_ATG,2020,Negative,Low,High
166,2021_ATG,2021,High,Low,Medium
167,2022_ATG,2022,High,Medium,Medium
168,2023_ATG,2023,Low,Medium,High
169,2024_ATG,2024,Moderate,Medium,Medium
170,2000_ARG,2000,Negative,High,High
171,2001_ARG,2001,Negative,High,High
172,2002_ARG,2002,Negative,High,High
173,2003_ARG,2003,High,High,Medium
174,2004_ARG,2004,High,High,Medium
175,2005_ARG,2005,High,High,Medium
176,2006_ARG,2006,High,High,Medium
177,2007_ARG,2007,High,High,Medium
178,2008_ARG,2008,Moderate,High,Medium
179,2009_ARG,2009,Negative,High,High
180,2010_ARG,2010,High,High,Medium
181,2011_ARG,2011,High,High,Medium
182,2012_ARG,2012,Negative,High,High
183,2013_ARG,2013,Low,High,Medium
184,2014_ARG,2014,Negative,High,High
185,2015_ARG,2015,Low,High,High
186,2016_ARG,2016,Negative,High,High
187,2017_ARG,2017,Low,High,Medium
188,2018_ARG,2018,Negative,High,High
189,2019_ARG,2019,Negative,High,High
190,2020_ARG,2020,Negative,High,High
191,2021_ARG,2021,High,High,Medium
192,2022_ARG,2022,High,High,Medium
193,2023_ARG,2023,Negative,High,High
194,2024_ARG,2024,Negative,High,High
195,2000_ARM,2000,Moderate,Low,Medium
196,2001_ARM,2001,High,Low,Medium
197,2002_ARM,2002,High,Low,Medium
198,2003_ARM,2003,High,Low,Medium
199,2004_ARM,2004,High,Medium,Medium
200,2005_ARM,2005,High,Low,Low
201,2006_ARM,2006,High,Low,Medium
202,2007_ARM,2007,High,Low,Medium
203,2008_ARM,2008,High,Medium,Medium
204,2009_ARM,2009,Negative,Low,High
205,2010_ARM,2010,Low,Medium,High
206,2011_ARM,2011,Moderate,Medium,Medium
207,2012_ARM,2012,High,Low,Medium
208,2013_ARM,2013,Moderate,Medium,High
209,2014_ARM,2014,Moderate,Low,Medium
210,2015_ARM,2015,Moderate,Low,Medium
211,2016_ARM,2016,Low,Low,High
