record_id,country_id,year,gdp_growth_percent,inflation_percent,unemployment_rate_percent,gdp_total_usd,gdp_per_capita,population
1,2001_AFG,2001,-9.43197407,,15.17,4.44075E+11,7583.12,58560953
2,2002_AFG,2002,28.60000117,,2,5.7108E+11,9543.93,59836957
3,2003_AFG,2003,8.832277803,,7.66,6.21519E+11,10140.39,61291471
4,2004_AFG,2004,1.414117993,,11.5,6.30308E+11,10020.21,62903715
5,2005_AFG,2005,11.22971483,12.68626872,7.89,7.0109E+11,10937.38,64100361
6,2006_AFG,2006,5.357403247,6.78459655,7.86,7.3865E+11,11352.07,65067448
7,2007_AFG,2007,13.82631955,8.680570785,6.11,8.40779E+11,12848.16,65439605
8,2008_AFG,2008,3.92498382,26.41866415,10.85,8.73779E+11,13084.12,66781624
9,2009_AFG,2009,21.39052839,-6.811161089,2,1.06068E+12,15720.58,67471084
10,2010_AFG,2010,14.36244147,2.178537524,4.22,1.21303E+12,17882.53,67832973
11,2011_AFG,2011,0.426354777,11.80418581,11.36,1.2182E+12,17610.99,69172535
12,2012_AFG,2012,12.75228709,6.441212809,7.24,1.37354E+12,19545.3,70274929
13,2013_AFG,2013,5.600744659,7.385771784,9.26,1.45047E+12,20360.91,71238144
14,2014_AFG,2014,2.724543362,4.673996035,10.22,1.48999E+12,20413.66,72989984
15,2015_AFG,2015,1.451314661,-0.661709165,12.72,1.51162E+12,20292.86,74490087
16,2016_AFG,2016,2.260314203,4.383891955,9.46,1.54578E+12,20171.84,76630784
17,2017_AFG,2017,2.647003203,4.975951506,10.64,1.5867E+12,20138.6,78789066
18,2018_AFG,2018,1.189228129,0.626149149,11.24,1.60557E+12,20147.28,79691683
19,2019_AFG,2019,3.911603416,2.302372515,10.01,1.66837E+12,20335.45,82042652
20,2020_AFG,2020,-2.351100672,5.601887915,13.71,1.62915E+12,19598.28,83127157
21,2021_AFG,2021,-20.73883937,5.133203408,20.67,1.29128E+12,15364.75,84041858
22,2022_AFG,2022,-6.240171992,13.71210237,13.63,1.2107E+12,14288.49,84732850
23,2023_AFG,2023,2.266943736,-4.644708708,9.42,1.23815E+12,14484.97,85478293
24,2024_AFG,2024,,-6.601185641,7.42,1.25729E+12,14406.01,87275206
25,2000_ALB,2000,7.462858718,0.050018136,8.16,3.75844E+11,1904.29,197367336
26,2001_ALB,2001,8.86373066,3.10758827,6.26,4.09158E+11,2029.07,201648025
27,2002_ALB,2002,4.628395874,7.770525834,7.85,4.28095E+11,2102.36,203625633
28,2003_ALB,2003,5.33326426,0.484002612,8.45,4.50927E+11,2194.25,205503749
29,2004_ALB,2004,5.266261739,2.280019169,7.72,4.74674E+11,2288.24,207440675
30,2005_ALB,2005,5.130821931,2.366581957,9.28,4.99028E+11,2386.51,209103498
31,2006_ALB,2006,6.01898124,2.370728319,8.45,5.29065E+11,2504.71,211227643
32,2007_ALB,2007,6.500092612,2.932682482,9.51,5.63455E+11,2621.42,214942173
33,2008_ALB,2008,6.907062307,3.320870904,9.74,6.02373E+11,2785.82,216228130
34,2009_ALB,2009,2.690751524,2.266922095,8.98,6.18581E+11,2802.77,220703513
35,2010_ALB,2010,2.973154427,3.627100915,12.2,6.36972E+11,2810.66,226627078
